S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
0,23rd Street Sports House,,0,0,"
23rd Street Sports House is no ordinary neighbourhood bar. Designed with dim lights and contemporary design, it features a cosy lounge experience. At 23rd Street Sports House, you will enjoy some of the finest cocktails, complementing a variety of appetisers and mains. An extensive list of spirits, grapes and beverages are also available for those who would like to indulge in the basics. We believe in promoting local talent by showcasing home-grown musicians live on selected nights. Less
",http://www.grandeur hotel.com,"
Lobby Level ","
Al Barsha ","
+971 4 371 6565 ",Grandeur Hotel,https://www.theentertainerme.com/outlets/23rd-street-sports-house/detail?o=48094&m=27887
1,24th St. World Street Food,,0,0,"
Amplified with a bustling atmosphere, eclectic décor and stunning views of Burj Khalifa, guests can explore a myriad of flavours and spices, not only from the dynamic kitchens of Kim’s Korean, Lucy Wong’s Chinese, Momo San Japanese and Chatakana Indian but also from its two new Arabic and Italian kitchens - Ali’s and Mario’s. With more variety to choose from, showcasing favourites from East to West -- families and friends with varied taste preferences can now have a dining adventure in a high-street setting of 24th St. World Street Food. Less
",https://www.dusit.com/dusitthani/dubai/,"
24th Level ","
Sheikh Zayed Road ","
+971 4 317 4515 ",Dusit Thani Dubai,https://www.theentertainerme.com/outlets/24th-st-world-street-food/detail?o=62864&m=36869
2,25 Degrees North,Indian,4.5,149,"
Welcome to 25 Degrees North, the house for North Indian cuisine, inspired by the home-style cooking of roadside eateries along plains of Northern India, serving authentic North Indian kebabs, biryanis and curries in a fine dining ambience. The unconventional name ""25 Degrees North"" has been derived from Dubai's latitude position on the world map and aims to become a destination of choice for authentic North Indian cuisine in the vibrant city of Dubai. Less
",http://www.25degreesnorth.com,"
Damac Executive Heights Tower, Ground Level ","
Barsha Heights ","
+971 4 452 7779  ",Barsha Heights,https://www.theentertainerme.com/outlets/25-degrees-north/detail?o=2964&m=1904
3,261 Restaurant,International,3.5,86,"
261 Bar and Restaurant is the perfect place to unwind after a round of golf or to watch the sunset over the spectacular Ernie Els–designed signature golf course. It features a wide selection of hops and an exclusive selection of Ernie Els grapes. The cuisine varies from the popular pre-round egg and bacon roll to a wide selection of sandwiches and burgers for lunch. The menu also features popular British dishes like the steak and Guinness pie and fish and chips. Less
",http://www.elsclubdubai.com,"
The Els Club ","
Dubai Sports City ","
+971 4 425 1000 ",The Els Club,https://www.theentertainerme.com/outlets/261-restaurant/detail?o=6648&m=3541
4,365 All Day Dining,International,0,0,"
365, the contemporary all-day dining restaurant, offers a selection of International cuisines, highlighted with a variety of live stations to satisfy all palates such as live pasta, rotisserie, grill and pizza stations. Less
",http://www.novotel.com/fr/hotel-6535-novotel-dubai-al-barsha/index.shtml,"
Mezzanine Level ","
Al Barsha ","
+971 4 304 9142 ",Novotel Dubai Al Barsha,https://www.theentertainerme.com/outlets/365-all-day-dining/detail?o=8461&m=4590
5,61 Street Cafe,,0,0,,http://61streetcoffeeroasters.com,"
 Ground Level, DX Bone Clinic, Near GGICO Metro Station ","
Al Garhoud ","
+971 4 257 0556 ",Al Garhoud,https://www.theentertainerme.com/outlets/61-street-cafe/detail?o=93226&m=53391
6,7 Spice London,,0,0,"
7 Spice London is a restaurant that exclusively offers British Indian cuisine - a combination of traditional dishes and quick English meals, perfecting the ‘Indian food in Britain’ theme. With the ethnic group of British in mind who favour tangy flavours, this restaurant gives customers an opportunity to experience tastes that remind them of home. Chefs sourced from Glasgow, London, Cardiff and Bradford, with 20 years experience, produce irresistible British food with just the right spices. Less
",http://www.kitchenlab.ae,"
Cluster G, UB - 04, JBC 1 ","
Jumeirah Lakes Towers ","
+971 4 430 3783 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/7-spice-london/detail?o=58305&m=26227
7,800 Pizza - Dubai,,0,0,,,"
Street 20, Abdullah Al Muhairi Building, Al Barsha 1 ","
  0 3 ","
+971 52 906 1375 ",Al Barsha,https://www.theentertainerme.com/outlets/800-pizza-dubai/detail?o=94341&m=53805
8,961LB,,0,0,"
961LB is a Lebanese restaurant and bar overlooking the Creek. It serves food and drinks for breakfast, lunch and dinner. It is the ideal place to relax and have a nice time. It has two terraces—one offering hubbly bubbly and the other a bar lounge on the 1st level with DJs and live music. Less
",http://www.961-lb.com,"
Al Seef Project by Meraas, Shop 2, Phase 1, Opposite American Consulate ","
Bur Dubai ","
+971 4 392 0961 ",Al Seef,https://www.theentertainerme.com/outlets/961lb/detail?o=46861&m=27399
9,A Capella,Tapas,0,0,"
A Cappella, from the House of Passion F&B, Dubai, is a celebration of life. Offering a super casual, groovy and fun space. As the name suggests, the bar and kitchen work in tandem in a rhythmic fashion to create an exuberant and effervescent experience for guests. A Cappella offers guests to experience the chefs and mixologists working together in the same space, live, creating an experience unlike any. Music forms the core at A Cappella, offering a high-octane vibe, elevating the overall experience. Less
",http://acappelladxb.com,"
FB 08, East Wing ","
The Palm Jumeirah ","
+971 5 8971 9542 ",The Pointe,https://www.theentertainerme.com/outlets/a-capella/detail?o=89587&m=51668
10,Abraj,,0,0,"
Abraj Café offers a sophisticated yet relaxed atmosphere to savour refreshing drinks and light meals. Grab a quick bite or have a delicious drink or two with friends and enjoy the casual chic experience. Less
",https://www.radissonblu.com/en/hotel-dubaiwaterfront,"
Ground Level ","
Business Bay ","
+971 4 249 7800 ",Radisson Blu Hotel Dubai Waterfront,https://www.theentertainerme.com/outlets/abraj/detail?o=52331&m=30194
11,Abu Jad,,0,0,"
Abu Jad serves Levant food made with the most delicious and freshest ingredients. Signature dishes include shawarma, falafel and manake'esh. Less
",,"
Opposite Dubai London Hospital, Jumeirah Beach Road ","
","
+971 4 323 1513 ",Umm Suqeim,https://www.theentertainerme.com/outlets/abu-jad/detail?o=77650&m=44809
12,Acai & Co,,0,0,"
Considered a superfood, Acai is one of nature's most complete and nutrient-dense foods. Served in a bowl or smoothie, at Acai & Co, we combine this super berry with other delicious and nutritious superfoods to create a truly exotic escape for your taste buds. Less
",http://www.acaiandco.com,"
Damac Maison Canal Views, Ground Level, Inside Poke and Co ","
Business Bay ","
+971 58 979 9810 ",Business Bay,https://www.theentertainerme.com/outlets/acai-co/detail?o=84822&m=49359
13,Accents,International,4,205,"
Accents offers a melting pot of cooking styles with authentic and diverse cuisines with a modern twist on traditional cooking methods, favouring the best products in the market to create a memorable dining experience. Be greeted by different accents and a mix of nationalities. Accents is a contemporary space with great food, cool drinks and terrific views of the Marina. Less
",https://www.intercontinentaldubaimarina.com/accents-restaurant,"
Lobby Level ","
Dubai Marina ","
+971 4 446 6654 ",InterContinental Dubai Marina,https://www.theentertainerme.com/outlets/accents/detail?o=11979&m=6855
14,Akira Indian Eatery,,0,0,,,"
Delivery only: Building 2817, Qutami Muwaliah Commercial ","
","
+971 2 671 0355 ",Sharjah,https://www.theentertainerme.com/outlets/akira-indian-eatery/detail?o=92327&m=52933
15,Akss Restaurant,,0,0,"
AKSS is a culinary reimagining of the great food traditions of India. Prepare to be surprised and thoroughly delighted with never-before flavour combinations, plating concepts and texture twists. Welcome to deconstructed samosas, chutney caviars, paani puri bars and a whole new world of awesome. It's the magic of vegetarian Indian cuisine with the wizardry of molecular gastronomy. It's waiting for you, only at Akss! Here's to reimagining food heaven. Less
",,"
Al Habbai Building, Shop No 2, Next To Daewoo Showroom ","
","
+971 4 384 2445 ",Al Karama,https://www.theentertainerme.com/outlets/akss-restaurant/detail?o=87812&m=50484
